epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09202,1.33104,3.0432,1.74606,0.81237,0.75,0.85893,0.62138,1.50568,1.12168,1.41261,0,0,0
2,10.1103,0.91376,2.9631,1.3497,0.81608,0.75,0.86716,0.61969,1.50666,1.1408,1.41278,1.17822e-06,1.17822e-06,1.17822e-06
3,15.2973,0.9507,4.15341,1.48843,0.82542,0.75,0.86668,0.60527,1.51008,1.15188,1.41699,2.33288e-06,2.33288e-06,2.33288e-06
4,21.1708,1.40163,2.87612,1.60869,0.82724,0.75,0.86842,0.60019,1.52391,1.15618,1.42968,3.46397e-06,3.46397e-06,3.46397e-06
5,29.5856,1.1397,3.70053,1.5805,0.83618,0.75,0.86465,0.60136,1.52658,1.1766,1.43454,4.5715e-06,4.5715e-06,4.5715e-06
6,34.2794,1.46868,4.99797,1.91398,0.84695,0.75,0.86658,0.60127,1.53033,1.17779,1.43468,5.65548e-06,5.65548e-06,5.65548e-06
7,39.1089,1.06149,2.18462,1.45133,0.85313,0.75,0.86665,0.5904,1.53452,1.18137,1.43786,6.71588e-06,6.71588e-06,6.71588e-06
8,43.7386,1.16706,3.68316,1.49597,0.85367,0.75,0.8668,0.5756,1.54156,1.17966,1.44058,7.75273e-06,7.75273e-06,7.75273e-06
9,48.4192,1.2392,3.23104,1.6306,0.85417,0.75,0.86843,0.57367,1.54184,1.18617,1.44134,8.76602e-06,8.76602e-06,8.76602e-06
10,53.0298,1.09133,3.27655,1.58855,0.85676,0.75,0.86935,0.57302,1.53653,1.18745,1.44226,9.75574e-06,9.75574e-06,9.75574e-06
11,57.737,1.22121,2.79289,1.57495,0.85674,0.75,0.86937,0.57324,1.53079,1.18258,1.44063,1.07219e-05,1.07219e-05,1.07219e-05
12,62.2989,0.97205,2.18472,1.46006,0.85656,0.75,0.86914,0.57396,1.52511,1.18067,1.43801,1.16645e-05,1.16645e-05,1.16645e-05
13,66.8996,0.95122,2.39325,1.26245,0.8584,0.7392,0.87075,0.5744,1.51869,1.17715,1.43388,1.25835e-05,1.25835e-05,1.25835e-05
14,71.6862,1.2374,2.67869,1.71022,0.866,0.73255,0.87171,0.57496,1.51459,1.18064,1.43407,1.3479e-05,1.3479e-05,1.3479e-05
15,76.2919,0.87187,1.67441,1.15906,0.8603,0.73097,0.87147,0.60785,1.50809,1.20016,1.4055,1.43509e-05,1.43509e-05,1.43509e-05
16,80.9409,0.98167,2.68675,1.53503,0.85954,0.7311,0.87122,0.60767,1.50244,1.21391,1.3988,1.51993e-05,1.51993e-05,1.51993e-05
17,85.4932,0.81114,2.2953,1.22158,0.85989,0.73052,0.87073,0.59077,1.50862,1.21404,1.38339,1.60241e-05,1.60241e-05,1.60241e-05
18,90.1469,1.07643,1.72651,1.42383,0.85989,0.73052,0.87073,0.59077,1.50862,1.21404,1.38339,1.68253e-05,1.68253e-05,1.68253e-05
19,94.7781,0.96318,2.291,1.22313,0.86868,0.7294,0.87112,0.60848,1.50542,1.20736,1.36827,1.7603e-05,1.7603e-05,1.7603e-05
20,99.2277,0.8361,1.65857,1.28857,0.86868,0.7294,0.87112,0.60848,1.50542,1.20736,1.36827,1.83571e-05,1.83571e-05,1.83571e-05
21,103.821,1.15018,3.41975,1.69956,0.86792,0.7379,0.87052,0.59163,1.4992,1.22793,1.35815,1.90876e-05,1.90876e-05,1.90876e-05
22,108.498,1.08297,2.53655,1.70384,0.86792,0.7379,0.87052,0.59163,1.4992,1.22793,1.35815,1.97946e-05,1.97946e-05,1.97946e-05
23,113.148,0.87573,1.95705,1.44471,0.84958,0.75,0.87453,0.58334,1.4931,1.23822,1.34552,2.0478e-05,2.0478e-05,2.0478e-05
24,117.551,1.10161,2.42029,1.58831,0.84958,0.75,0.87453,0.58334,1.4931,1.23822,1.34552,2.11379e-05,2.11379e-05,2.11379e-05
25,122.195,0.92282,2.02114,1.35902,0.7845,0.75,0.87753,0.58349,1.48469,1.25991,1.34329,2.17741e-05,2.17741e-05,2.17741e-05
26,126.658,1.02673,2.12914,1.50077,0.7845,0.75,0.87753,0.58349,1.48469,1.25991,1.34329,2.23869e-05,2.23869e-05,2.23869e-05
27,131.334,0.92717,1.92929,1.46434,0.70753,0.75,0.84236,0.57447,1.49121,1.29473,1.34304,2.2976e-05,2.2976e-05,2.2976e-05
28,135.786,0.79604,1.48225,1.24496,0.70753,0.75,0.84236,0.57447,1.49121,1.29473,1.34304,2.35417e-05,2.35417e-05,2.35417e-05
29,140.356,0.99968,1.43035,1.38962,0.77118,0.75,0.7811,0.56857,1.50015,1.31312,1.3456,2.40837e-05,2.40837e-05,2.40837e-05
30,144.834,1.2461,3.16214,1.70017,0.77118,0.75,0.7811,0.56857,1.50015,1.31312,1.3456,2.46022e-05,2.46022e-05,2.46022e-05
31,149.479,1.03324,1.534,1.34317,0.68891,0.75,0.78204,0.5691,1.50938,1.35243,1.34927,2.50971e-05,2.50971e-05,2.50971e-05
32,153.981,0.72063,1.53438,1.25708,0.68891,0.75,0.78204,0.5691,1.50938,1.35243,1.34927,2.55685e-05,2.55685e-05,2.55685e-05
33,158.589,1.03553,1.67777,1.54322,0.65058,0.75,0.69866,0.51134,1.50922,1.38147,1.34617,2.60163e-05,2.60163e-05,2.60163e-05
34,163.165,0.93683,1.57125,1.32909,0.65058,0.75,0.69866,0.51134,1.50922,1.38147,1.34617,2.64405e-05,2.64405e-05,2.64405e-05
35,168.055,0.90333,2.62141,1.40371,0.68203,0.75,0.70168,0.50408,1.52926,1.43251,1.34899,2.68412e-05,2.68412e-05,2.68412e-05
36,172.503,0.84672,1.49025,1.24318,0.68203,0.75,0.70168,0.50408,1.52926,1.43251,1.34899,2.72183e-05,2.72183e-05,2.72183e-05
37,177.087,0.78147,1.05958,1.26804,0.67779,0.75,0.70286,0.49526,1.53324,1.44248,1.34973,2.75718e-05,2.75718e-05,2.75718e-05
38,181.508,0.5226,1.05221,1.06112,0.67779,0.75,0.70286,0.49526,1.53324,1.44248,1.34973,2.79018e-05,2.79018e-05,2.79018e-05
39,186.167,0.74181,1.11662,1.12751,0.68603,0.75,0.70073,0.49508,1.53301,1.45583,1.34905,2.82082e-05,2.82082e-05,2.82082e-05
40,190.744,0.7701,0.84659,1.15605,0.68603,0.75,0.70073,0.49508,1.53301,1.45583,1.34905,2.84911e-05,2.84911e-05,2.84911e-05
41,195.336,0.58995,0.89922,1.08791,0.71722,0.6,0.70474,0.49486,1.53715,1.48675,1.34463,2.87504e-05,2.87504e-05,2.87504e-05
42,199.802,0.93742,2.23808,1.41785,0.71722,0.6,0.70474,0.49486,1.53715,1.48675,1.34463,2.89861e-05,2.89861e-05,2.89861e-05
43,204.459,0.95145,1.51325,1.43281,0.69666,0.5505,0.70468,0.52289,1.5541,1.52487,1.34643,2.91983e-05,2.91983e-05,2.91983e-05
44,209.181,1.05344,1.00344,1.52496,0.69666,0.5505,0.70468,0.52289,1.5541,1.52487,1.34643,2.93869e-05,2.93869e-05,2.93869e-05
45,213.823,0.6055,0.80893,1.00874,0.68331,0.52828,0.70373,0.51425,1.56558,1.5528,1.35176,2.9552e-05,2.9552e-05,2.9552e-05
46,218.427,0.80088,1.06581,1.32392,0.68331,0.52828,0.70373,0.51425,1.56558,1.5528,1.35176,2.96935e-05,2.96935e-05,2.96935e-05
47,223.011,0.87856,1.91774,1.45301,0.67265,0.50129,0.7038,0.50584,1.57796,1.57325,1.36253,2.98114e-05,2.98114e-05,2.98114e-05
48,227.482,0.90155,1.55246,1.30902,0.67265,0.50129,0.7038,0.50584,1.57796,1.57325,1.36253,2.99058e-05,2.99058e-05,2.99058e-05
49,232.11,0.60743,0.98514,1.23802,0.88587,0.41667,0.67635,0.49256,1.58702,1.59649,1.36626,2.99766e-05,2.99766e-05,2.99766e-05
50,236.568,0.71727,1.11378,1.34305,0.88587,0.41667,0.67635,0.49256,1.58702,1.59649,1.36626,3.00238e-05,3.00238e-05,3.00238e-05
51,241.163,0.73278,0.94639,1.17805,0.65239,0.45827,0.70469,0.50581,1.59779,1.63,1.36931,3.00475e-05,3.00475e-05,3.00475e-05
52,245.64,0.75386,1.04371,1.27446,0.65239,0.45827,0.70469,0.50581,1.59779,1.63,1.36931,3.00476e-05,3.00476e-05,3.00476e-05
53,250.19,0.58995,0.68753,1.22086,0.65239,0.45827,0.70469,0.50581,1.59779,1.63,1.36931,3.00242e-05,3.00242e-05,3.00242e-05
54,254.816,0.87694,0.91605,1.40121,0.88787,0.41667,0.65324,0.47807,1.60635,1.65774,1.3794,2.99772e-05,2.99772e-05,2.99772e-05
55,259.245,0.75201,0.98271,1.17293,0.88787,0.41667,0.65324,0.47807,1.60635,1.65774,1.3794,2.99066e-05,2.99066e-05,2.99066e-05
56,263.709,1.01606,1.59223,1.61015,0.88787,0.41667,0.65324,0.47807,1.60635,1.65774,1.3794,2.98125e-05,2.98125e-05,2.98125e-05
57,268.29,0.81202,1.58673,1.30839,0.88595,0.42457,0.64372,0.47266,1.6359,1.69959,1.3959,2.96948e-05,2.96948e-05,2.96948e-05
58,272.73,0.86064,1.64605,1.35504,0.88595,0.42457,0.64372,0.47266,1.6359,1.69959,1.3959,2.95535e-05,2.95535e-05,2.95535e-05
59,277.312,0.82414,0.70506,1.29013,0.88595,0.42457,0.64372,0.47266,1.6359,1.69959,1.3959,2.93887e-05,2.93887e-05,2.93887e-05
60,281.929,0.96406,0.98916,1.5562,0.88658,0.42447,0.63573,0.47021,1.65107,1.74869,1.4015,2.92003e-05,2.92003e-05,2.92003e-05
61,286.375,0.66989,0.67096,1.15414,0.88658,0.42447,0.63573,0.47021,1.65107,1.74869,1.4015,2.89884e-05,2.89884e-05,2.89884e-05
62,290.981,0.68736,0.91913,1.11043,0.88658,0.42447,0.63573,0.47021,1.65107,1.74869,1.4015,2.87529e-05,2.87529e-05,2.87529e-05
63,295.803,0.89542,0.81786,1.35402,0.88701,0.42473,0.55207,0.40243,1.68825,1.84506,1.4338,2.84938e-05,2.84938e-05,2.84938e-05
64,300.484,0.67446,0.64398,1.14218,0.88701,0.42473,0.55207,0.40243,1.68825,1.84506,1.4338,2.82112e-05,2.82112e-05,2.82112e-05
65,304.958,0.55415,0.92923,1.21665,0.88701,0.42473,0.55207,0.40243,1.68825,1.84506,1.4338,2.7905e-05,2.7905e-05,2.7905e-05
66,309.504,0.68073,0.86094,1.19504,0.88921,0.42452,0.5549,0.40122,1.68226,1.88128,1.4273,2.75753e-05,2.75753e-05,2.75753e-05
67,313.986,0.7645,1.09341,1.15396,0.88921,0.42452,0.5549,0.40122,1.68226,1.88128,1.4273,2.7222e-05,2.7222e-05,2.7222e-05
68,318.477,0.97606,2.34261,1.51664,0.88921,0.42452,0.5549,0.40122,1.68226,1.88128,1.4273,2.68451e-05,2.68451e-05,2.68451e-05
69,323.054,0.64003,0.96585,1.19064,0.89032,0.42481,0.47007,0.33144,1.70422,1.9665,1.43909,2.64447e-05,2.64447e-05,2.64447e-05
70,327.55,0.8072,1.01572,1.41281,0.89032,0.42481,0.47007,0.33144,1.70422,1.9665,1.43909,2.60207e-05,2.60207e-05,2.60207e-05
71,332.051,0.85199,1.36946,1.33075,0.89032,0.42481,0.47007,0.33144,1.70422,1.9665,1.43909,2.55731e-05,2.55731e-05,2.55731e-05
72,336.684,0.55554,0.56684,1.13111,0.89173,0.42474,0.45735,0.32925,1.7288,2.06542,1.46923,2.5102e-05,2.5102e-05,2.5102e-05
73,341.162,0.72899,1.13814,1.17805,0.89173,0.42474,0.45735,0.32925,1.7288,2.06542,1.46923,2.46073e-05,2.46073e-05,2.46073e-05
74,345.617,0.68514,0.59116,1.28609,0.89173,0.42474,0.45735,0.32925,1.7288,2.06542,1.46923,2.40891e-05,2.40891e-05,2.40891e-05
75,350.234,0.70986,0.57962,1.16545,0.89492,0.42256,0.45832,0.32954,1.71956,2.02373,1.45209,2.35472e-05,2.35472e-05,2.35472e-05
76,354.785,0.69015,0.92626,1.22603,0.89492,0.42256,0.45832,0.32954,1.71956,2.02373,1.45209,2.29819e-05,2.29819e-05,2.29819e-05
77,359.242,0.57813,0.62492,1.16537,0.89492,0.42256,0.45832,0.32954,1.71956,2.02373,1.45209,2.23929e-05,2.23929e-05,2.23929e-05
78,363.843,0.76923,1.18213,1.26075,0.89792,0.42423,0.45883,0.32955,1.74477,2.14355,1.47851,2.17805e-05,2.17805e-05,2.17805e-05
79,368.297,0.58955,0.84482,1.12651,0.89792,0.42423,0.45883,0.32955,1.74477,2.14355,1.47851,2.11444e-05,2.11444e-05,2.11444e-05
80,372.762,0.68038,0.88688,1.14136,0.89792,0.42423,0.45883,0.32955,1.74477,2.14355,1.47851,2.04848e-05,2.04848e-05,2.04848e-05
81,377.403,0.50508,0.40364,1.01208,0.90548,0.419,0.45871,0.3379,1.72227,2.16832,1.44697,1.98016e-05,1.98016e-05,1.98016e-05
82,381.876,0.78043,0.64891,1.22319,0.90548,0.419,0.45871,0.3379,1.72227,2.16832,1.44697,1.90949e-05,1.90949e-05,1.90949e-05
83,386.383,0.71469,0.7925,1.17324,0.90548,0.419,0.45871,0.3379,1.72227,2.16832,1.44697,1.83646e-05,1.83646e-05,1.83646e-05
84,391.02,0.72535,0.6192,1.20145,0.91175,0.41374,0.4584,0.33766,1.7158,2.17717,1.44144,1.76107e-05,1.76107e-05,1.76107e-05
85,395.565,0.64284,0.77105,1.20223,0.91175,0.41374,0.4584,0.33766,1.7158,2.17717,1.44144,1.68333e-05,1.68333e-05,1.68333e-05
86,400.08,0.70635,0.7516,1.20812,0.91175,0.41374,0.4584,0.33766,1.7158,2.17717,1.44144,1.60323e-05,1.60323e-05,1.60323e-05
87,404.577,0.61464,0.71821,1.07987,0.91175,0.41374,0.4584,0.33766,1.7158,2.17717,1.44144,1.52077e-05,1.52077e-05,1.52077e-05
88,409.19,0.87923,0.81104,1.51266,0.94841,0.39139,0.4584,0.3378,1.71081,2.17194,1.4358,1.43596e-05,1.43596e-05,1.43596e-05
89,413.702,1.00102,0.99158,1.57203,0.94841,0.39139,0.4584,0.3378,1.71081,2.17194,1.4358,1.34879e-05,1.34879e-05,1.34879e-05
90,418.18,0.57964,0.62617,1.03202,0.94841,0.39139,0.4584,0.3378,1.71081,2.17194,1.4358,1.25927e-05,1.25927e-05,1.25927e-05
91,422.645,0.48004,0.62215,0.94455,0.94841,0.39139,0.4584,0.3378,1.71081,2.17194,1.4358,1.16739e-05,1.16739e-05,1.16739e-05
92,427.231,0.75899,0.68125,1.07018,0.95005,0.38964,0.45044,0.32864,1.71762,2.17738,1.44774,1.07315e-05,1.07315e-05,1.07315e-05
93,431.727,0.45425,0.47437,1.04725,0.95005,0.38964,0.45044,0.32864,1.71762,2.17738,1.44774,9.76562e-06,9.76562e-06,9.76562e-06
94,436.161,0.44899,0.44968,0.91745,0.95005,0.38964,0.45044,0.32864,1.71762,2.17738,1.44774,8.77613e-06,8.77613e-06,8.77613e-06
95,440.623,0.45645,0.3582,0.95129,0.95005,0.38964,0.45044,0.32864,1.71762,2.17738,1.44774,7.76308e-06,7.76308e-06,7.76308e-06
96,445.273,0.45889,0.43842,1.03076,0.94984,0.39155,0.45081,0.3283,1.72269,2.17796,1.45612,6.72648e-06,6.72648e-06,6.72648e-06
97,449.706,0.65645,0.64289,1.16065,0.94984,0.39155,0.45081,0.3283,1.72269,2.17796,1.45612,5.6663e-06,5.6663e-06,5.6663e-06
98,454.122,0.50745,0.43553,0.94617,0.94984,0.39155,0.45081,0.3283,1.72269,2.17796,1.45612,4.58257e-06,4.58257e-06,4.58257e-06
99,458.547,0.46315,0.50419,0.95541,0.94984,0.39155,0.45081,0.3283,1.72269,2.17796,1.45612,3.47528e-06,3.47528e-06,3.47528e-06
100,463.135,0.4979,0.61497,0.99269,0.96513,0.38787,0.61645,0.46612,1.73541,2.14426,1.48958,2.34442e-06,2.34442e-06,2.34442e-06
